"ENSEMBL","fc","adj.P.Val"
"ENSG00000141480",-4.08444779066842,3.64797671491552e-07
"ENSG00000187017",7.93309741418626,3.66396978284581e-07
"ENSG00000232677",-21.8190740815278,3.6431220036249e-07
"ENSG00000180096",-6.77509559403505,3.78845251991032e-07
"ENSG00000179456",-8.74141444754296,3.78845251991032e-07
"ENSG00000188112",12.2900362056807,3.78845251991032e-07
"ENSG00000004399",-5.14799230197411,3.78845251991032e-07
"ENSG00000133789",-5.94071158033618,3.81343541660003e-07
"ENSG00000137078",-15.6582677545735,3.78845251991032e-07
"ENSG00000224184",11.1714827161845,3.80262505170747e-07
"ENSG00000172687",-15.906317675751,3.64967576584966e-07
"ENSG00000196781",-24.5132655229028,3.64797671491552e-07
"ENSG00000148180",-6.31536820666089,3.84054913892778e-07
"ENSG00000198286",4.16731332233246,3.78845251991032e-07
"ENSG00000150907",-7.15416874273622,3.85838721877672e-07
"ENSG00000136854",-16.3916843464405,3.58329269781662e-07
"ENSG00000065534",-11.6938085233477,3.78845251991032e-07
"ENSG00000138964",-11.5201102201121,3.86743982349423e-07
"ENSG00000166897",-44.4554308792598,3.27397497113129e-07
"ENSG00000119673",-14.8091038537895,3.78845251991032e-07
"ENSG00000176678",-11.1692570672865,3.84550168245223e-07
"ENSG00000065809",-22.5106339881755,3.96193278807793e-07
"ENSG00000106991",-12.234923626231,3.96193278807793e-07
"ENSG00000088992",6.53372903176511,3.81910498031759e-07
"ENSG00000095370",-9.80022143941205,3.96193278807793e-07
"ENSG00000242574",-10.8526518763108,3.8311872194313e-07
"ENSG00000152642",-16.7616317931053,3.78845251991032e-07
"ENSG00000136878",3.5297332955533,3.78845251991032e-07
"ENSG00000105655",6.14013183184779,3.78845251991032e-07
"ENSG00000157985",-7.81567957917193,3.96896359849523e-07
"ENSG00000269190",5.28579328960721,4.0021336493964e-07
"ENSG00000126970",-16.5823126108682,3.78845251991032e-07
"ENSG00000105808",-5.48011613509765,4.0021336493964e-07
"ENSG00000160703",-15.7383896885908,3.79502845161375e-07
"ENSG00000187653",-5.08677615230717,3.90688514523051e-07
"ENSG00000138316",5.8502545498979,4.03164798168934e-07
"ENSG00000116133",4.64773743412354,3.99194038260419e-07
"ENSG00000164850",-8.39828699419132,4.07679720640122e-07
"ENSG00000122644",5.28052275542033,4.00307516264018e-07
"ENSG00000137055",-16.39139660424,4.0021336493964e-07
"ENSG00000206337",-20.8265187534396,3.732331413493e-07
"ENSG00000130656",7.31764507248345,3.9241556276028e-07
"ENSG00000119411",-10.6884537673184,4.17488975264039e-07
"ENSG00000226564",6.74448197627493,4.27736473725491e-07
"ENSG00000139737",-44.0055172723865,3.63359312077468e-07
"ENSG00000211900",-9.06912594452673,4.24701746196883e-07
"ENSG00000151726",-19.3455796686435,3.80262505170747e-07
"ENSG00000179403",5.25598726060094,4.2895016657868e-07
"ENSG00000087074",4.27010115472604,4.08997685527e-07
"ENSG00000169926",-6.28844643966504,4.2763915547655e-07
"ENSG00000124243",-9.2237732970617,4.32080990417874e-07
"ENSG00000114541",-14.3301008421672,4.23956994659033e-07
"ENSG00000206195",5.43811198019007,4.27736473725491e-07
"ENSG00000149516",6.96336790430504,4.17488975264039e-07
"ENSG00000211973",-10.3432967090385,4.32135799926159e-07
"ENSG00000204592",-4.79239240982834,4.17488975264039e-07
"ENSG00000196405",-3.63965437287945,4.19751731651433e-07
"ENSG00000158457",-9.48524298698455,4.38097453600549e-07
"ENSG00000179583",-10.6591427604243,4.39079602594649e-07
"ENSG00000134369",-15.377925109931,4.4064390692679e-07
"ENSG00000170571",-21.8965204483477,4.0021336493964e-07
"ENSG00000035720",-7.68354922646792,4.3473998195681e-07
"ENSG00000116014",5.56446244774539,4.418645389465e-07
"ENSG00000171862",-4.28923353453768,4.37210310509071e-07
"ENSG00000265843",6.60042929064214,4.418645389465e-07
"ENSG00000100097",14.5339867493792,4.418645389465e-07
"ENSG00000111057",8.91784054379321,4.38097453600549e-07
"ENSG00000173110",116.28029162543,3.18066630705435e-07
"ENSG00000034053",5.09196951028109,4.418645389465e-07
"ENSG00000111321",4.31046257222569,4.4461279120393e-07
"ENSG00000040487",5.39475845821014,4.51295262783436e-07
"ENSG00000158234",-8.28475232857155,4.67239242586514e-07
"ENSG00000162654",-16.194614397197,4.58139328595646e-07
"ENSG00000183049",-9.31506021085361,4.74427503732701e-07
"ENSG00000124762",-8.1831076655101,4.71337920068634e-07
"ENSG00000185551",6.63498218554395,4.75343830181968e-07
"ENSG00000167642",-12.1205228126618,4.4064390692679e-07
"ENSG00000114631",7.43542588392712,4.70476313743262e-07
"ENSG00000154359",-16.1289344784603,4.38097453600549e-07
"ENSG00000015413",-6.15667423423073,4.76682225696186e-07
"ENSG00000130560",3.38648950104097,4.44464931032683e-07
"ENSG00000012817",-27.362680442303,4.25485481116011e-07
"ENSG00000100285",4.79532832758526,4.71277570014065e-07
"ENSG00000168234",-9.19894893125391,4.74427503732701e-07
"ENSG00000105610",5.42003067249367,4.51295262783436e-07
"ENSG00000168421",-6.44391196016838,4.81267379551872e-07
"ENSG00000079819",-7.31576615378244,4.76682225696186e-07
"ENSG00000149564",-10.4743384986,4.88500761130823e-07
"ENSG00000106066",4.94554985068504,4.77163595454025e-07
"ENSG00000130707",-4.02111192750082,4.76731984480303e-07
"ENSG00000235162",-24.8400649531711,4.70476313743262e-07
"ENSG00000175287",-5.05332969975011,4.93909270332348e-07
"ENSG00000142227",5.71877749249024,4.72390107787533e-07
"ENSG00000146281",-9.3376562772713,5.05131823504547e-07
"ENSG00000205639",5.95593232332524,5.05131823504547e-07
"ENSG00000160999",-8.1864115293928,5.06985237722923e-07
"ENSG00000166165",5.05745026668383,4.71277570014065e-07
"ENSG00000160789",4.96078877517648,4.78077613693718e-07
"ENSG00000204054",10.0509960072948,5.16371241444933e-07
"ENSG00000167081",-10.0948135185927,5.18096923367261e-07
"ENSG00000135409",5.15548997680703,5.05131823504547e-07
"ENSG00000064201",12.5620774966715,5.19052744322561e-07
"ENSG00000163697",-10.7039505712254,5.05131823504547e-07
"ENSG00000104998",5.25219667118386,5.02736917761016e-07
"ENSG00000074660",-6.9946946229672,5.20727798340851e-07
"ENSG00000026950",-5.91234292205303,5.21103786634302e-07
"ENSG00000242247",-7.73166581265717,5.21103786634302e-07
"ENSG00000163219",-14.4014282373468,5.05131823504547e-07
"ENSG00000188848",-39.1584438885761,4.17488975264039e-07
"ENSG00000170909",-8.14142489659068,5.21853408330999e-07
"ENSG00000139292",-29.8260441700024,5.11455792925697e-07
"ENSG00000185340",3.52029377104641,5.06427801416892e-07
"ENSG00000107819",-17.8326214080732,4.78077613693718e-07
"ENSG00000168754",3.54614341061742,4.90822697307104e-07
"ENSG00000172995",-17.6722419395833,5.19052744322561e-07
"ENSG00000196660",10.46171207567,5.21103786634302e-07
"ENSG00000100368",-21.2196917757141,4.99964259978419e-07
"ENSG00000100360",-10.9446947470857,5.19052744322561e-07
"ENSG00000152953",-30.803010118346,4.74427503732701e-07
"ENSG00000006327",5.4947964161482,5.21103786634302e-07
"ENSG00000211672",-7.30971065180522,5.21103786634302e-07
"ENSG00000162542",-8.00907661847799,5.3135013766582e-07
"ENSG00000197993",6.72058147882565,5.31832971007452e-07
"ENSG00000247774",-7.82256077870757,5.44645878373941e-07
"ENSG00000176454",-4.18021708470978,5.31369382484982e-07
"ENSG00000171649",-17.3543454635508,4.91271536355998e-07
"ENSG00000184730",6.72269551127217,5.48253475357186e-07
"ENSG00000111344",-19.7710661276265,5.48411657944573e-07
"ENSG00000130176",5.0667045335922,5.48201013291517e-07
"ENSG00000168792",-10.6260670536875,5.53875025925899e-07
"ENSG00000147804",4.36920509569911,5.35775220219947e-07
"ENSG00000050820",4.54937922125067,5.55777839676044e-07
"ENSG00000186469",-24.6128199496528,4.78098801438807e-07
"ENSG00000109458",-11.5785072157243,5.64083378943818e-07
